id,session,label,defect,n_samples,duration_s,n_estop,R01_mean,R01_max,R01_std,R01_rms,R02_mean,R02_max,R02_std,R02_rms,R03_mean,R03_max,R03_std,R03_rms,R04_mean,R04_max,R04_std,R04_rms,pred,anomaly_score,threshold,is_anomaly
5_255,5,NoNose,True,2946,294.6,0,394.09809911744736,578,47.32924324700834,396.9289717592559,1308.8557365919892,1377,14.948850970846864,1308.941072585141,1773.8424983027835,9471,1454.2777189531357,2293.626603422336,-34.63204344874406,1378,744.2570509848131,744.9361801011046,NoNose,4.2860255427497895,6.301385147702073,False
5_256,5,NoNose,True,2944,294.401,0,384.2554347826087,598,50.529408994241486,387.56237313579885,1308.6858016304348,1391,16.37654072566503,1308.7882286213141,1793.600883152174,9203,1530.9632478292133,2357.977194560612,-6.530230978260869,1469,745.2535706568423,745.1556029597325,NoNose,5.262171285026703,6.301385147702073,False
5_257,5,NoNose,True,2945,294.444,0,377.3429541595925,599,48.88500542637058,380.4952527318089,1307.4967741935484,1362,15.782211489810813,1307.5919884082366,1802.0546689303906,9530,1550.7664190587832,2377.2801517415182,3.18981324278438,1496,746.8961428002493,746.7761371263307,NoNose,4.859854027313185,6.301385147702073,False
5_258,5,NoNose,True,2944,294.314,0,379.9327445652174,517,46.238683615879054,382.73513038023293,1307.4867527173913,1359,15.06950127318375,1307.5735624673614,1804.9463315217392,9020,1566.9425177929813,2390.0431187271497,-11.525475543478262,1539,781.0218347680269,780.9742271971564,Normal,7.224463185548584,6.301385147702073,True
5_259,5,NoNose,True,2944,294.416,0,378.84375,552,45.98408670439565,381.62338095471085,1305.9752038043478,1353,15.200832347930838,1306.0636354209628,1806.593070652174,9276,1567.5453025028626,2391.681866840553,32.79721467391305,1456,739.9668178951346,740.5677282479184,NoNose,5.5793125256338,6.301385147702073,False
5_26,5,NoNose,True,2940,293.916,0,430.0636054421769,619,46.072169616024176,432.52355722089914,1309.942857142857,1360,15.003622110029006,1310.028748191594,1650.9353741496598,8859,1294.7287484484516,2097.937073399862,598.9574829931972,1370,168.99072706436937,622.3328841604651,NoNose,18.31347889565038,6.301385147702073,True
5_260,5,NoNose,True,2943,294.183,0,378.4638124362895,566,46.41644136036628,381.29858546945303,1305.5178389398573,1381,15.259491406763383,1305.6069855617106,1782.1134896364254,8855,1492.674201316603,2324.4886931700703,22.869520897043834,1440,787.7175082732724,787.9156356677177,NoNose,6.100049668286604,6.301385147702073,False
5_261,5,NoNose,True,2947,294.607,0,379.0654903291483,556,48.67828200847022,382.17720632485674,1306.136070580251,1370,15.64610351578044,1306.2297471571878,1790.6050220563284,9315,1519.7706731376563,2348.4432070578973,-10.491007804546998,1413,748.6839706350387,748.6304470954209,NoNose,4.2189256729591085,6.301385147702073,False
5_262,5,NoNose,True,2946,294.4,0,385.8204344874406,519,44.80837907424315,388.4128177238306,1307.7410047522064,1360,14.600827785751719,1307.8224831063267,1797.3234894772572,9524,1538.8081824301335,2365.9033306382835,25.79599456890699,1457,753.5878817691512,753.901426466512,Normal,4.9539259841411845,6.301385147702073,False
5_263,5,NoNose,True,2943,294.189,0,383.6014271151886,531,46.32107038405797,386.38706937503,1307.706082229018,1357,15.700445779155705,1307.8002973455095,1798.7111790689773,9388,1532.6650612046965,2362.969722462869,0.018688413183826028,1465,748.3431170209991,748.2159669489937,NoNose,4.285279491379385,6.301385147702073,False
5_264,5,NoNose,True,2941,293.995,0,378.63039782386943,557,50.161145906480314,381.9375121348917,1307.552193131588,1361,16.264117241471183,1307.6533062437306,1797.4393063583816,9417,1536.6348118663457,2364.578552952721,11.371302278136689,1445,756.869858810721,756.8266038733707,NoNose,4.452949563930371,6.301385147702073,False
5_266,5,NoNose,True,2941,294.101,0,383.3168990139408,540,44.155255810455195,385.85083743867284,1307.1856511390683,1354,14.633116789164552,1307.2675249706583,1798.8796327779667,9050,1552.7392314490392,2376.1622977431302,25.25603536212173,1409,758.2552628286002,758.5469107741134,NoNose,5.858862170881165,6.301385147702073,False
5_267,5,NoNose,True,2942,294.181,0,388.2032630863358,556,46.72641858778531,391.0043344145066,1306.6607749830048,1362,15.711066941003676,1306.755193064987,1799.332766825289,9289,1545.8818171939272,2372.0321900726794,11.212440516655336,1434,744.2076595539867,744.1656433608498,NoNose,5.000231927508497,6.301385147702073,False
5_268,5,NoNose,True,2943,294.209,0,392.8545701664968,582,47.530232090966,395.71842089729,1307.3030920829085,1363,15.477507658695068,1307.3946788996896,1814.0890248046212,9185,1596.6347110837505,2416.4633630959906,1.0774719673802242,1516,737.5898042631516,737.4652681628587,NoNose,7.255536803913255,6.301385147702073,True
5_269,5,NoNose,True,2942,294.31,0,398.525152957172,567,45.65886859185697,401.1313017081329,1308.209041468389,1379,15.016328407306828,1308.2951920928613,1788.7192386131883,9412,1507.1853582798717,2338.878382553324,-36.991842284160434,1423,750.9595321364311,751.7425951080569,NoNose,4.8806318451675015,6.301385147702073,False
5_27,5,NoNose,True,2940,293.752,0,428.078231292517,595,47.7792217841428,430.7354752744008,1311.2306122448979,1355,15.006856149994276,1311.3164559400022,1649.9809523809524,8852,1272.4029185426284,2083.4816166548662,607.6534013605442,1380,146.93437788303402,625.1599988400249,NoNose,19.70758686813601,6.301385147702073,True
5_270,5,NoNose,True,2944,294.307,0,396.5478940217391,607,46.48125847456352,399.2618260921729,1309.5957880434783,1375,15.054719399747846,1309.6822880577465,1793.249320652174,8758,1520.6041131211161,2350.998636391612,19.208559782608695,1400,753.2835842648501,753.4005467422503,NoNose,6.007701469231688,6.301385147702073,False
5_271,5,NoNose,True,2944,294.306,0,391.2483016304348,570,47.91545778383109,394.17045141540194,1309.1280570652175,1361,15.302219046353377,1309.217456408889,1774.516304347826,8844,1457.2313828510387,2296.020494702169,-2.841372282608696,1476,751.3261427568997,751.2039026315055,NoNose,4.140960143372227,6.301385147702073,False
5_272,5,NoNose,True,2945,294.531,0,390.7432937181664,536,47.61345122031895,393.6325603017507,1307.9528013582342,1355,15.346191189722612,1308.0427960112559,1806.4689303904925,9152,1570.2888190845963,2393.3866561649247,-7.990492359932088,1482,750.6604618505368,750.5755383102206,NoNose,6.003734443451786,6.301385147702073,False
5_273,5,NoNose,True,2945,294.37,0,383.65636672325974,548,48.58694946865687,386.71966305434904,1308.4505942275043,1366,16.41865924550088,1308.5535672528347,1789.7235993208828,9171,1509.4797784104214,2341.1249580639537,7.943972835314091,1467,727.144912257791,727.064847190657,NoNose,5.761206323623858,6.301385147702073,False
5_274,5,NoNose,True,2946,294.615,0,391.29837067209775,565,45.56702085428169,393.9417006054316,1307.5675492192804,1384,15.130973839765963,1307.655063243492,1793.8021045485405,9684,1531.428632877904,2358.4324371117586,8.68601493550577,1484,750.764725368063,750.687547038728,NoNose,4.870093993089278,6.301385147702073,False
5_275,5,NoNose,True,2943,294.219,0,391.50254841997963,564,43.74162338332896,393.93771703983606,1307.383961943595,1355,15.087982655063694,1307.4709915771875,1781.61331974176,8959,1491.502903198919,2323.35340455852,6.507985049269453,1518,745.9706895955587,745.8723350983302,NoNose,5.547679243749498,6.301385147702073,False
5_28,5,NoNose,True,3202,320.1,0,427.27514053716425,543,46.11149643487543,429.7553394434296,1310.522798251093,1373,15.461300316437198,1310.6139713456137,1629.6514678326046,8855,1242.744672428388,2049.3159589086918,602.9175515302936,1441,149.54966684469602,621.1824949782937,NoNose,21.645165413167824,6.301385147702073,True
5_29,5,NoNose,True,2943,294.291,0,423.1223241590214,640,48.258840548954545,425.86456245167625,1309.9150526673463,1370,15.8231942067255,1310.010585302716,1643.4118246687053,8563,1250.9656355669038,2065.23260321995,601.8786952089704,1293,158.9272348389409,622.5008010971815,NoNose,19.068906938011853,6.301385147702073,True
5_3,5,NoNose,True,2950,294.852,0,439.9257627118644,619,48.86286004632816,442.63014633063347,1311.3983050847457,1364,15.181293832982247,1311.4861448507922,1797.4840677966101,9014,1550.3172931076535,2373.5243716993614,589.5027118644068,1362,134.47127599826385,604.6402580831972,NoNose,16.5046059714216,6.301385147702073,True
